25:36.118 | Performing 1 clicks
25:36.449 | [LOG] Fishing successful
25:36.449 | [LOG] Adding random delay...
25:50.395 | [LOG] Cast number 74
25:55.729 | [LOG] Waiting for fish
26:11.888 | [AI] I guess I need to click 1 times
26:11.888 | Performing 1 clicks
26:12.214 | [LOG] Fishing successful
26:12.214 | [LOG] Adding random delay...
26:25.091 | [LOG] Cast number 75
26:30.423 | [LOG] Waiting for fish
27:10.564 | [LOG] Something went wrong, reseting bot...
27:10.564 | [LOG] Cast number 76
27:15.908 | [LOG] Waiting for fish
27:32.008 | [AI] I guess I need to click 1 times
27:32.008 | Performing 1 clicks
27:32.335 | [LOG] Fishing successful
27:32.335 | [LOG] Adding random delay...
27:46.178 | [LOG] Cast number 77
27:51.506 | [LOG] Waiting for fish
28:13.442 | [AI] I guess I need to click 3 times
28:13.443 | Performing 3 clicks
28:14.420 | [LOG] Fishing successful
28:14.420 | [LOG] Adding random delay...
28:27.929 | [LOG] Cast number 78
28:33.268 | [LOG] Waiting for fish
28:57.526 | [AI] I guess I need to click 4 times
28:57.526 | Performing 4 clicks
28:58.831 | [LOG] Fishing successful
28:58.831 | [LOG] Adding random delay...
29:10.642 | [LOG] Cast number 79
29:15.979 | [LOG] Waiting for fish
29:36.115 | [AI] I guess I need to click 3 times
29:36.115 | Performing 3 clicks
29:37.096 | [LOG] Fishing successful
29:37.096 | [LOG] Adding random delay...
29:50.650 | [LOG] Cast number 80
29:55.982 | [LOG] Waiting for fish
30:16.695 | [AI] I guess I need to click 4 times
30:16.696 | Performing 4 clicks
30:17.985 | [LOG] Fishing successful
30:17.985 | [LOG] Adding random delay...
30:29.545 | [LOG] Cast number 81
30:34.880 | [LOG] Waiting for fish
31:14.605 | [LOG] Something went wrong, reseting bot...
31:14.605 | [LOG] Cast number 82
31:19.950 | [LOG] Waiting for fish
31:42.924 | [AI] I guess I need to click 4 times
31:42.924 | Performing 4 clicks
31:44.224 | [LOG] Fishing successful
31:44.224 | [LOG] Adding random delay...
31:59.142 | [LOG] Cast number 83
32:04.470 | [LOG] Waiting for fish
32:26.330 | [AI] I guess I need to click 4 times
32:26.330 | Performing 4 clicks
32:27.623 | [LOG] Fishing successful
